Nº;TITULO;Autor;Año;SignaturaLCC;LCCSeccion;LCCNumero;LCCCutter;Ejemplar;Observaciones
779;Topicos de Calculo de Probabilidades  Parte: III ;Moises Lazaro C;2007;QA303.L32 V.3;QA;303;.L32 V.3;3;
780;Calculo integral y sus aplicaciones;Moises Lazaro C;2014;QA303.L32C;QA;303;.L32C;1;
781;Calculo integral y sus aplicaciones;Moises Lazaro C;2014;QA303.L32C;QA;303;.L32C;2;
782;Calculo integral y sus aplicaciones;Moises Lazaro C;2014;QA303.L32C;QA;303;.L32C;3;
783;Calculo integral y sus aplicaciones;Moises Lazaro C;2014;QA303.L32C;QA;303;.L32C;4;
784;Calculo diferencial;Moises Lazaro C;2014;QA303.L32D;QA;303;.L32D;1;CAMBIAR CLASIFICACION
785;Calculo diferencial;Moises Lazaro C;2014;QA303.L32D;QA;303;.L32D;2;CAMBIAR CLASIFICACION
786;Calculo diferencial;Moises Lazaro C;2014;QA303.L32D;QA;303;.L32D;3;CAMBIAR CLASIFICACION
787;Calculo integral;Francisco Guillermo Mejia Duque;2011;QA303.M39;QA;303;.M39;1;
788;Calculo integral;Francisco Guillermo Mejia Duque;2011;QA303.M39;QA;303;.M39;2;
789;Calculo integral;Francisco Guillermo Mejia Duque;2011;QA303.M39;QA;303;.M39;3;
790;Calculo integral;Francisco Guillermo Mejia Duque;2011;QA303.M39;QA;303;.M39;4;
791;Calculo integral;Francisco Guillermo Mejia Duque;2011;QA303.M39;QA;303;.M39;5;
792;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;1;
793;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;2;
794;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;3;
795;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;4;
796;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;5;
797;Topicos de Calculo Volumen.1;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.1 ;QA;303;.M66  v.1 ;6;
798;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;1;
799;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;2;
800;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;3;
801;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;4;
802;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;5;
803;Topicos de Calculo Volumen.2;Maximo Mitacc Meza, Luis Toro Mota;2009;QA303.M66  v.2;QA;303;.M66  v.2;6;
804;CALCULO III ;Maximo Mitacc Meza, Luis Toro Mota;2011;QA303.M66  v.3;QA;303;.M66  v.3;1;
805;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec, Isabel Corbacho Carpio;2013;QA303.P96;QA;303;.P96;1;
806;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec;2013;QA303.P96;QA;303;.P96;2;
807;Modelos Funcionales y Aplicaciones Diferenciales;Epifanio Puma Huañec;2013;QA303.P96;QA;303;.P96;3;
808;Calculo;Edwin J. Purcell;2007;QA303.P98;QA;303;.P98;1;
809;Calculo;Edwin J. Purcell;2007;QA303.P98;QA;303;.P98;2;
810;Calculo;Edwin J. Purcell;2007;QA303.P98;QA;303;.P98;3;
811;Calculo;Edwin J. Purcell;2007;QA303.P98;QA;303;.P98;4;
812;Calculo;Edwin J. Purcell;2007;QA303.P98;QA;303;.P98;5;
813;Calculo II;Mariano Soler Dorda;2015;QA303.S66;QA;303;.S66;1;
814;Calculo II;Mariano Soler Dorda;2015;QA303.S66;QA;303;.S66;2;
815;Calculo II;Mariano Soler Dorda;2015;QA303.S66;QA;303;.S66;3;
816;Calculo II;Mariano Soler Dorda;2015;QA303.S66;QA;303;.S66;4;
817;Calculo II;Mariano Soler Dorda;2015;QA303.S66;QA;303;.S66;5;
818;CALCULO de una Variable Trascendentes Tempranas;James Stewart;2008;QA303.S79;QA;303;.S79;1;
819;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;2005;QA303.T69;QA;303;.T69;1;
820;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;2005;QA303.T69;QA;303;.T69;2;
821;Problemas resueltos de calculo en una variable;Venancio Tomeo Perucha;2005;QA303.T69;QA;303;.T69;3;
822;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;2017;QA304.L32;QA;304;.L32;1;
823;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;2017;QA304.L32;QA;304;.L32;2;
824;Analisis Matematico IV Calculo Vectorial;Moises Lazaro C;2017;QA304.L32;QA;304;.L32;3;
825;Calculo Integral Matematicas 2;Ron Larson;2009;QA308.L25;QA;308;.L25;1;
826;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;2006;QA308.V45;QA;308;.V45;1;
827;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;2003;QA308.V45 ;QA;308;.V45 ;1;
828;Analisis Matematico 2, 2da Edicion;J. Armando Venero B;2006;QA308.V45;QA;308;.V45;2;
829;Matematica Basica 1;R. Figueroa G;2009;QA37.3.F51;QA;37.3;.F51;1;
830;Matematica Basica 1;R. Figueroa G;2009;QA37.3.F51;QA;37.3;.F51;2;
831;Matematica Basica 1;R. Figueroa G;2009;QA37.3.F51;QA;37.3;.F51;3;
832;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;2014;QA37.R29;QA;37;.R29;1;
833;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;2014;QA37.R29;QA;37;.R29;2;
834;Razonamiento Inductivo - Deductivo;Adolfo Povis Vega;2014;QA37.R29;QA;37;.R29;3;
835;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;1;
836;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;2;
837;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;3;
838;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;4;
839;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;5;
840;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;6;
841;Ecuaciones diferenciales;Richard Bronson;2008;QA371.32.B84;QA;371.32;.B84;7;
842;Ecuaciones Diferenciales Teoría,Aplicaciones  y Problemas resueltos para Ciencias e Ingenierías;Hugo E. Lázaro Manrique;2015;QA371.72.L32;QA;371.72;.L32;1;
843;Ecuaciones Diferenciales Teoría,Aplicaciones  y Problemas resueltos para Ciencias e Ingenierías;Hugo E. Lázaro Manrique;2015;QA371.72.L32;QA;371.72;.L32;2;
844;Ecuaciones Diferenciales Teoría,Aplicaciones  y Problemas resueltos para Ciencias e Ingenierías;Hugo E. Lázaro Manrique;2015;QA371.72.L32;QA;371.72;.L32;3;
845;Ecuaciones Diferenciales Teoría,Aplicaciones  y Problemas resueltos para Ciencias e Ingenierías;Hugo E. Lázaro Manrique;2015;QA371.72.L32;QA;371.72;.L32;4;
846;Ecuaciones Diferenciales Teoría,Aplicaciones  y Problemas resueltos para Ciencias e Ingenierías;Hugo E. Lázaro Manrique;2015;QA371.72.L32;QA;371.72;.L32;5;
847;Ecuacuciones diferenciales;William E. Boyce;2010;QA371.B56;QA;371;.B56;1;
848;Ecuacuciones diferenciales;William E. Boyce;2010;QA371.B56;QA;371;.B56;2;
849;Ecuacuciones diferenciales;Shepley L. Ross;2002;QA371.R84;QA;371;.R84;1;
850;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;1;
851;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;10;
852;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;2;
853;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;3;
854;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;4;
855;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;5;
856;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;6;
857;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;7;
858;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;8;
859;Ecuaciones diferenciales Teoria, tecnica y practica;George F. Simmons;2007;QA371.S56;QA;371;.S56;9;
860;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;2015;QA371.Z88;QA;371;.Z88;1;
861;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;2015;QA371.Z88;QA;371;.Z88;2;
862;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;2015;QA371.Z88;QA;371;.Z88;3;
863;Ecuaciones Diferenciales Con problemas con valores en la frontera;Dennis G. Zill;2015;QA371.Z88;QA;371;.Z88;4;
864;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88 ;QA;372;.E88 ;1;
865;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;2;
866;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;3;
867;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;4;
868;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;5;
869;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;6;
870;Ecuaciones diferenciales y aplicaciones  Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2004;QA372.E88;QA;372;.E88;7;
871;Analisis Matematico IV Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;2010;QA372.E88A;QA;372;.E88A;1;
872;Analisis Matematico IV Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;2012;QA372.E88A;QA;372;.E88A;1;
873;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2002;QA372.E88A ;QA;372;.E88A ;1;
874;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2008;QA372.E88A ;QA;372;.E88A ;1;
875;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2002;QA372.E88A;QA;372;.E88A;2;
876;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2008;QA372.E88A;QA;372;.E88A;2;
877;Analisis Matematico IV Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2002;QA372.E88A;QA;372;.E88A;3;
878;Ecuaciones Diferenciales;Carlos Vera G;2010;QA372.L32;QA;372;.L32;1;
879;Ecuaciones Diferenciales;Carlos Vera G;2010;QA372.L32;QA;372;.L32;2;
880;Ecuaciones Diferenciales;Carlos Vera G;2010;QA372.L32;QA;372;.L32;3;
881;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;1;
882;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;2;
883;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;3;
884;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;4;
885;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;5;
886;Problemas Resueltos de Ecuaciones Diferenciales;Manuel Lopez Rodriguez;2007;QA372.L83;QA;372;.L83;6;
887;Algebra lineal y calculo para estudiantes  de química (con problemas resueltos);Jesus Medina Moreno;2015;QA372.M36;QA;372;.M36;1;
888;Algebra lineal y calculo para estudiantes  de química (con problemas resueltos);Jesus Medina Moreno;2015;QA372.M36;QA;372;.M36;2;
889;Algebra lineal y calculo para estudiantes  de química (con problemas resueltos);Jesus Medina Moreno;2015;QA372.M36;QA;372;.M36;3;
890;Algebra lineal y calculo para estudiantes  de química (con problemas resueltos);Jesus Medina Moreno;2015;QA372.M36;QA;372;.M36;4;
891;Algebra lineal y calculo para estudiantes  de química (con problemas resueltos);Jesus Medina Moreno;2015;QA372.M36;QA;372;.M36;5;
892;Ecuaciones diferenciales 1 Teori y problemas resueltos  para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma;Cesar Saal R;2016;QA372.S11;QA;372;.S11;1;
893;Ecuaciones diferenciales 1 Teori y problemas resueltos  para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma;Cesar Saal R;2016;QA372.S11;QA;372;.S11;2;
894;Ecuaciones diferenciales 1 Teori y problemas resueltos  para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma;Cesar Saal R;2016;QA372.S11;QA;372;.S11;3;
895;Ecuaciones diferenciales 1 Teori y problemas resueltos  para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma;Cesar Saal R;2016;QA372.S11;QA;372;.S11;4;
896;Ecuaciones diferenciales 1 Teori y problemas resueltos  para estudiantes de la UNI, U. de Lima, Catolica, Unife, R. Palma;Cesar Saal R;2016;QA372.S11;QA;372;.S11;5;
897;Ecuaciones Diferenciales Con aplicaciones de modelado;Dennis G. Zill;2009;QA372.Z88;QA;372;.Z88;1;
898;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;1;
899;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;2;
900;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;3;
901;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;4;
902;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;5;
903;Ecuaciones diferenciales can aplicaciones de modelado;Dennis G. Zill;2015;QA372.Z88;QA;372;.Z88;6;
904;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;1;
905;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;2;
906;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;3;
907;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;4;
908;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;5;
909;Matematicas discretas con aplicaciones;Susanna S. Epp;2012;QA39.2.E68;QA;39.2;.E68;6;
910;Matematicas discretas;Ramon Espinosa Armenta;2010;QA39.2.E87;QA;39.2;.E87;1;
911;Matematicas Discretas;Richard Johnsonbaugh;2005;QA39.2.J67;QA;39.2;.J67;1;
912;Matematicas Discretas;Richard Johnsonbaugh;2005;QA39.2.J67;QA;39.2;.J67;2;
913;Matematicas para la computacion;Jose A. Jimenez Murillo;2009;QA39.2.J87;QA;39.2;.J87;1;
914;Matematicas para la computacion;Jose A. Jimenez Murillo;2009;QA39.2.J87;QA;39.2;.J87;2;
915;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;2009;QA39.2.L66;QA;39.2;.L66;1;CAMBIAR CLASIFICACION
916;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;2009;QA39.2.L66;QA;39.2;.L66;2;
917;Matematicas discretas (Schaum);Seymour Lipschutz, Ph. D., Marc Lars Lipson, Ph. D.;2009;QA39.2.L66;QA;39.2;.L66;3;
918;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;1;
919;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;2;
920;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;3;
921;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;4;
922;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;5;
923;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;6;
924;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;7;
925;Matematicas Discretas Con teoria de graficas y combinatorias;T. Veerarajan;2008;QA39.2.V47;QA;39.2;.V47;8;
926;Matematica Basica 1;R. Figueroa G;2016;QA39.3.F52;QA;39.3;.F52;1;
927;Matematica Basica 1;R. Figueroa G;2012;QA39.3.F52 ;QA;39.3;.F52 ;1;
928;Matematica Basica 2;R. Figueroa G;2012;QA39.3.F52;QA;39.3;.F52;2;
929;Matematica Basica 1;R. Figueroa G;2016;QA39.3.F52;QA;39.3;.F52;2;
930;Matematica Basica 1;R. Figueroa G;2016;QA39.3.F52;QA;39.3;.F52;3;
931;Matematica Basica 1;R. Figueroa G;2016;QA39.3.F52;QA;39.3;.F52;4;
932;Matematica Basica 1;R. Figueroa G;2016;QA39.3.F52;QA;39.3;.F52;5;
933;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;1;
934;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;2;
935;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;3;
936;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;4;
937;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;5;
938;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;6;
939;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;7;
940;Matemática Básica;J. Armando Venero B;2008;QA39.3.V45;QA;39.3;.V45;8;
941;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;1;
942;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;2;
943;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;3;
944;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;4;
945;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;5;
946;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;6;
947;Matematica Basica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;7;
948;Matemática Básica Para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;2012;QA39.E88;QA;39;.E88;8;
949;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;2011;QA39.F64;QA;39;.F64;1;
950;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;2011;QA39.F64;QA;39;.F64;2;
951;Formulario de Matematica Todas las formulas y sus aplicaciones;Wilfredo Florentino La Torre;2011;QA39.F64;QA;39;.F64;3;
952;Matematica Basica;Victor Cardenas;2014;QA39.V28;QA;39;.V28;1;
953;Matematica Basica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;1;
954;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;2;
955;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;3;
956;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;4;
957;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;5;
958;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;6;
959;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;7;
960;Matemática Básica;Carlos Vera G;2015;QA39.V47;QA;39;.V47;8;
961;Introduccion a los sistemas de control Conceptos,  aplicación y simulación con MATLAB;Ricardo Hernández Gaviño;2010;QA402.3.H44;QA;402.3;.H44;1;
962;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;1;
963;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;10;
964;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;11;
965;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;2;
966;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;3;
967;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;4;
968;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;5;
969;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;6;
970;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;7;
971;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;8;
972;Algoritmos Evolutivos Un enfoque práctico;Lourdes Araujo;2009;QA402.5.A66;QA;402.5;.A66;9;
973;Series de Fourier;Moises Lazaro C;2007;QA404.L32;QA;404;.L32;1;
974;Series de Fourier;Moises Lazaro C;2007;QA404.L32;QA;404;.L32;2;
975;Series de Fourier;Moises Lazaro C;2007;QA404.L32;QA;404;.L32;3;
976;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;1;
977;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;2;
978;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;3;
979;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;4;
980;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;5;
981;Geometria para la informatica grafica y CAD;Joan Trias Pairó;2005;QA447.T81;QA;447;.T81;6;
982;Geometria Descriptiva y sus aplicaciones Punto, recta y plano;Ángel Taibo;2010;QA501.T15;QA;501;.T15;1;
983;Geometria Descriptiva y sus aplicaciones Punto, recta y plano;Ángel Taibo;2010;QA501.T15;QA;501;.T15;2;
984;Geometria Descriptiva y sus aplicaciones Punto, recta y plano;Ángel Taibo;2010;QA501.T15;QA;501;.T15;3;
985;Geometria Descriptiva;B. Leigthon Wellman;2003;QA501.W44;QA;501;.W44;1;
986;Modulo de Geometria Vectorial;Francisco Javier Cordoba Gomez, Pablo Felipe Ardila Rojo;2014;QA551.C79;QA;551;.C79;1;
987;Modulo de Geometria Vectorial;Francisco Javier Cordoba Gomez, Pablo Felipe Ardila Rojo;2014;QA551.C79;QA;551;.C79;2;
988;Modulo de Geometria Vectorial;Francisco Javier Cordoba Gomez, Pablo Felipe Ardila Rojo;2014;QA551.C79;QA;551;.C79;3;
989;Modulo de Geometria Vectorial;Francisco Javier Cordoba Gomez, Pablo Felipe Ardila Rojo;2014;QA551.C79;QA;551;.C79;4;
990;Modulo de Geometria Vectorial;Francisco Javier Cordoba Gomez, Pablo Felipe Ardila Rojo;2014;QA551.C79;QA;551;.C79;5;
991;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E88;QA;551;.E88;1;
992;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E89;QA;551;.E89;2;
993;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E89;QA;551;.E89;3;
994;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E89;QA;551;.E89;4;
995;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E89;QA;551;.E89;5;
996;Geometria Vectorial en R3 para estudiantes de Ciencias e Ingenieria;Eduardo Espinoza Ramos;2004;QA551.E89;QA;551;.E89;6;
997;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;1;
998;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;2;
999;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;3;
1000;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;4;
1001;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;5;
1002;Solucionario de Geometria Analitica CH. Lehmann;R. Figueroa G;2015;QA551.F52;QA;551;.F52;6;
1003;Geometria Analitica;Samuel Fuenlabrada Trucios;2014;QA551.F89;QA;551;.F89;1;
1004;Geometria Analitica;Samuel Fuenlabrada Trucios;2014;QA551.F89;QA;551;.F89;2;
1005;Geometria Analitica;Samuel Fuenlabrada Trucios;2014;QA551.F89;QA;551;.F89;3;
1006;Geometria Analitica;Samuel Fuenlabrada Trucios;2014;QA551.F89;QA;551;.F89;4;
1007;Geometria Analitica;Samuel Fuenlabrada Trucios;2014;QA551.F89;QA;551;.F89;5;
1008;Geometria vectorial en R2 Para estudiantes  de Ingenierías, Física y Matemáticas;Moises Lazaro C;2013;QA551.L32;QA;551;.L32;1;
1009;Geometria vectorial en R2 Para estudiantes  de Ingenierías, Física y Matemáticas;Moises Lazaro C;2013;QA551.L32;QA;551;.L32;2;
1010;Geometria vectorial en R2 Para estudiantes  de Ingenierías, Física y Matemáticas;Moises Lazaro C;2013;QA551.L32;QA;551;.L32;3;
1011;Geometria vectorial en R2 Para estudiantes  de Ingenierías, Física y Matemáticas;Moises Lazaro C;2013;QA551.L32;QA;551;.L32;4;
